x_error,y_error,theta_error,distance_error
5.000000000000000278e-02,5.000000000000000278e-02,0.000000000000000000e+00,7.071067811865476560e-02
4.764314220996337251e-02,4.764314220996337945e-02,1.110223024625156540e-16,6.737757786740028454e-02
4.534858171577105940e-02,4.534858171577105940e-02,0.000000000000000000e+00,6.413257929682800174e-02
4.311074918454076838e-02,4.311074918454076838e-02,0.000000000000000000e+00,6.096780618084240294e-02
4.092944256230325595e-02,4.092944256230325595e-02,0.000000000000000000e+00,5.788297277197986673e-02
3.880440780851619059e-02,3.880440780851619753e-02,1.110223024625156540e-16,5.487771980266003408e-02
3.673534209323452149e-02,3.673534209323452149e-02,0.000000000000000000e+00,5.195161900666750432e-02
3.472189636477368557e-02,3.472189636477368557e-02,0.000000000000000000e+00,4.910417675037601071e-02
3.276367784908636865e-02,3.276367784908637559e-02,1.110223024625156540e-16,4.633483756740090082e-02
3.086025248125006878e-02,3.086025248125007225e-02,1.110223024625156540e-16,4.364298759724180576e-02
2.901114726957310791e-02,2.901114726957311138e-02,1.110223024625156540e-16,4.102795792863347946e-02
2.721585259287551475e-02,2.721585259287551822e-02,1.110223024625156540e-16,3.848902784839151880e-02
2.547382443154759882e-02,2.547382443154760229e-02,1.110223024625156540e-16,3.602542799660571338e-02
2.378448653303242427e-02,2.378448653303242774e-02,1.110223024625156540e-16,3.363634342909468944e-02
2.214723251241916199e-02,2.214723251241916546e-02,1.110223024625156540e-16,3.132091658809353640e-02
2.056142788887246192e-02,2.056142788887246539e-02,1.110223024625156540e-16,2.907825018219983501e-02
1.902641205865860177e-02,1.902641205865860524e-02,1.110223024625156540e-16,2.690740997665399745e-02
1.754150020556231176e-02,1.754150020556231176e-02,0.000000000000000000e+00,2.480742749507665670e-02
1.610598514951899762e-02,1.610598514951899762e-02,0.000000000000000000e+00,2.277730263382942572e-02
1.471913913431554394e-02,1.471913913431554394e-02,0.000000000000000000e+00,2.081600619020562010e-02
6.338021555523917772e-02,6.338021555523917772e-02,0.000000000000000000e+00,8.963316042434944786e-02
5.973159283754119614e-02,5.973159283754119614e-02,0.000000000000000000e+00,8.447322869299839221e-02
5.622658229884888031e-02,5.622658229884888031e-02,0.000000000000000000e+00,7.951639525291907817e-02
