%x,%y,%theta,%velocity,%steering,%label
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.579594216318335297e-04,4.579594216318337466e-04,0.000000000000000000e+00,7.285209947489207361e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.281009461654990331e-03,1.281020539642446950e-03,-6.765478248216272306e-05,6.906079576828272337e-01,-1.861317753459764118e-04,0.000000000000000000e+00
3.408237859365049224e-04,-3.409411467512446611e-04,-2.497758973083463729e-04,6.560819187968101041e-01,-5.274190252327143552e-04,0.000000000000000000e+00
-1.503786103933798211e-03,1.504605726280455920e-03,2.364800406273737110e-06,6.232807540583970018e-01,7.686218902114906083e-04,0.000000000000000000e+00
-2.058508562350028215e-03,2.059424559386596309e-03,-2.209358710909548051e-04,5.921206123281093081e-01,-7.165283464256982622e-04,0.000000000000000000e+00
-1.095354329155027008e-03,1.096077341513018374e-03,-5.066139252799528592e-04,5.625186641095640816e-01,-9.649246667372635231e-04,0.000000000000000000e+00
-2.901540370481818162e-03,2.904150106621475845e-03,-6.262285025236957736e-04,5.343944666222623097e-01,-4.252807565505584142e-04,0.000000000000000000e+00
-3.670329244748693053e-03,3.674398060650491734e-03,-1.008776480882045412e-03,5.076806493216869942e-01,-1.431688726450320442e-03,0.000000000000000000e+00
-3.272045255908262364e-03,3.276173811686225890e-03,-1.481306483642086391e-03,4.823019146089487230e-01,-1.861501978377703504e-03,0.000000000000000000e+00
-3.195656572214724232e-03,3.200288728758597222e-03,-1.866264502142334081e-03,4.581884445907736803e-01,-1.596329245096574610e-03,0.000000000000000000e+00
-3.294791989817701366e-03,3.300542411804615640e-03,-2.221067871531756666e-03,4.352815310323746578e-01,-1.548712304137475453e-03,0.000000000000000000e+00
-3.252928799552857932e-03,3.259328443904834904e-03,-2.576467375517754732e-03,4.135203284718497185e-01,-1.632951056770138611e-03,0.000000000000000000e+00
-5.916680173415780550e-03,5.937713369154693638e-03,-2.913323404659329263e-03,3.928467021819201932e-01,-1.629200106661518946e-03,0.000000000000000000e+00
-4.114550457485366235e-03,4.127752546154874087e-03,-3.645788789183312950e-03,3.732192832910820046e-01,-3.728847470538606320e-03,0.000000000000000000e+00
-3.387410335242149566e-03,3.396761519163734016e-03,-4.078169450162150156e-03,3.545517073916860662e-01,-2.317071864351945894e-03,0.000000000000000000e+00
-5.013707459152690754e-03,5.037594437252488830e-03,-4.390816354885695993e-03,3.368241519636069881e-01,-1.763616117293345794e-03,0.000000000000000000e+00
-4.503441177423201519e-03,4.525057437267690670e-03,-4.951105810562794751e-03,3.199918523779723967e-01,-3.326791074699084975e-03,0.000000000000000000e+00
-5.030391566499275817e-03,5.059243928376646118e-03,-5.423058725984475359e-03,3.039922501911057617e-01,-2.949772364031096744e-03,0.000000000000000000e+00
-4.255634657510251433e-03,4.278557804718311625e-03,-5.972422908742225367e-03,2.887979354801886722e-01,-3.614248143967168508e-03,0.000000000000000000e+00
-5.827047332206256557e-03,5.870941754014816910e-03,-6.396545872799919152e-03,2.743565408699988328e-01,-2.937168225898958811e-03,0.000000000000000000e+00
-5.550516832876405994e-03,5.592743704858678215e-03,-5.511601692379963779e-03,9.691453311273647842e-01,1.734922721927775443e-03,0.000000000000000000e+00
-4.362505208962031734e-03,4.392653337246775480e-03,-5.172825438022776723e-03,9.192042723110693814e-01,7.002521609814959863e-04,0.000000000000000000e+00
-6.413813546635878035e-03,6.466238414061152573e-03,-4.603170277152068834e-03,8.732499948273444446e-01,1.239443753593342254e-03,0.000000000000000000e+00
-4.949103898308327733e-03,4.988416257413981481e-03,-5.030146637346355476e-03,8.295911502307521390e-01,-9.778971551794449560e-04,0.000000000000000000e+00
-6.068642159444267645e-03,6.119858053558224417e-03,-5.046189209688245469e-03,7.881155379061830502e-01,-3.867565854034467685e-05,0.000000000000000000e+00
-6.346643891712931695e-03,6.401271958489389464e-03,-5.405798277514528571e-03,7.487141137590871409e-01,-9.125740074128328065e-04,0.000000000000000000e+00
-6.987396119480806210e-03,7.049810148636525067e-03,-5.785838685351540889e-03,7.112828250440831335e-01,-1.015174978803797109e-03,0.000000000000000000e+00
-6.556839755520891579e-03,6.615384083608569048e-03,-6.242460891615397856e-03,6.757235323804196003e-01,-1.283930000358621737e-03,0.000000000000000000e+00
-6.665995870846794930e-03,6.727227069205166457e-03,-6.612191147492452181e-03,6.419407682408189153e-01,-1.094317794575691734e-03,0.000000000000000000e+00
-7.032520118866407606e-03,7.100152520413827682e-03,-6.988567111063770376e-03,6.098475668031767549e-01,-1.172611062087893473e-03,0.000000000000000000e+00
-8.329997206914466906e-03,8.417680419669714212e-03,-7.412540418878399429e-03,5.793593134342699402e-01,-1.390413077099984882e-03,0.000000000000000000e+00
-6.072153069841761987e-03,6.128560244230195873e-03,-8.022640504188216504e-03,5.503979666505303125e-01,-2.106091443674895040e-03,0.000000000000000000e+00
-8.008479816354358016e-03,8.098399992254817423e-03,-8.273266951850266615e-03,5.228775614433157637e-01,-9.107105640441247882e-04,0.000000000000000000e+00
-6.386934484828296794e-03,6.452540762109352721e-03,-8.827312572746937036e-03,4.967400377950321189e-01,-2.119187147708160614e-03,0.000000000000000000e+00
-7.398501826173238365e-03,7.484692369921360292e-03,-9.127446259866722755e-03,4.719031341001590496e-01,-1.208412673591951602e-03,0.000000000000000000e+00
-8.211468185359517211e-03,8.315566213666716194e-03,-9.592202463237109455e-03,4.483126956301170529e-01,-1.969686901682456571e-03,0.000000000000000000e+00
-7.732983501464509371e-03,7.831361614751449624e-03,-1.018276322466382666e-02,4.259029186005259260e-01,-2.634550743076310812e-03,0.000000000000000000e+00
-7.402004339487462670e-03,7.497223945651235177e-03,-1.069814660351608993e-02,4.046095992777841155e-01,-2.420176164143569408e-03,0.000000000000000000e+00
-8.936850020779044806e-03,9.069040734067401049e-03,-1.116759403399192330e-02,3.843813053847174865e-01,-2.320478401189087110e-03,0.000000000000000000e+00
-7.322258075772726527e-03,7.422948279570139134e-03,-1.188143944376107708e-02,3.651720570221387296e-01,-3.714139720718582886e-03,0.000000000000000000e+00
-6.819535395638130597e-03,6.918237997265919842e-03,-8.037846525820402377e-03,1.000000000000000000e+00,7.302696725223191410e-03,0.000000000000000000e+00
-6.886129600535078644e-03,6.990516993803582400e-03,-6.471318133147496710e-03,1.000000000000000000e+00,2.976395156823724748e-03,0.000000000000000000e+00
-7.205840526453982653e-03,7.313816499578600604e-03,-6.070247430164377178e-03,9.539232667992250114e-01,7.988422130931070904e-04,0.000000000000000000e+00
-7.161009945637047264e-03,7.267497684386753365e-03,-6.212681951071052922e-03,9.062312234452292170e-01,-2.986275187574627529e-04,0.000000000000000000e+00
-9.333102367362020382e-03,9.465956904512609973e-03,-6.415417239698739671e-03,8.609243980569458721e-01,-4.474225885086361917e-04,0.000000000000000000e+00
-8.019686156789711251e-03,8.135230189393253056e-03,-7.000207547641634775e-03,8.178844908747414655e-01,-1.358505894122363908e-03,0.000000000000000000e+00
-7.467739714116477905e-03,7.575463544806450115e-03,-7.347170337780539739e-03,7.769935858080480040e-01,-8.484357594763763510e-04,0.000000000000000000e+00
-7.754454243468321059e-03,7.866640650409113117e-03,-7.606360232292330714e-03,7.381479442666917246e-01,-6.671572146651683815e-04,0.000000000000000000e+00
-7.794274549620622793e-03,7.907500304374540795e-03,-7.915762459630326653e-03,7.012446272027156313e-01,-8.383152917342024009e-04,0.000000000000000000e+00
-8.427884620445408662e-03,8.551889746989841529e-03,-8.234964277021750156e-03,6.661863138858732380e-01,-9.103808842249441540e-04,0.000000000000000000e+00
-8.954111849138213577e-03,9.087857062842989025e-03,-8.654042392432170772e-03,6.328814398819448961e-01,-1.258131379713887726e-03,0.000000000000000000e+00
-8.893879722147016165e-03,9.028032999515114843e-03,-9.149693561301019962e-03,6.012421339400557674e-01,-1.566318123019102638e-03,0.000000000000000000e+00
-8.085593955893739457e-03,8.206660300980753511e-03,-9.630412955343059522e-03,5.711838504062264343e-01,-1.599075445715597826e-03,0.000000000000000000e+00
-8.763323800438291983e-03,8.899584712070262443e-03,-9.988649701192731101e-03,5.426270600588394277e-01,-1.254359596549294584e-03,0.000000000000000000e+00
-8.384355581358155646e-03,8.515382548060449613e-03,-1.046080507926017145e-02,5.155002500806062926e-01,-1.740240305585442904e-03,0.000000000000000000e+00
-7.892772482899639702e-03,8.016045372870950550e-03,-1.088064908920949314e-02,4.897280059170909805e-01,-1.628869298411737398e-03,0.000000000000000000e+00
-8.719368231896123742e-03,8.863613076820322026e-03,-1.123719597377215162e-02,4.652440338302162859e-01,-1.456093045023349516e-03,0.000000000000000000e+00
-8.163254442040523973e-03,8.298105384946342228e-03,-1.173629715123203354e-02,4.419867306184139255e-01,-2.145518669239784588e-03,0.000000000000000000e+00
-9.233995827075793320e-03,9.397655491947437198e-03,-1.216032114626020011e-02,4.198893375038265097e-01,-1.918706978125604874e-03,0.000000000000000000e+00
-7.748702188422498631e-03,7.879929581515560458e-03,-1.276396958369907519e-02,3.989015475242663755e-01,-2.875217902098041890e-03,0.000000000000000000e+00
-9.035014528237838086e-03,9.211175053487952180e-03,-8.411980081950765076e-03,1.000000000000000000e+00,8.268591608048133160e-03,0.000000000000000000e+00
-8.028426808417891622e-03,8.192554656220809792e-03,-7.459582372619344426e-03,1.000000000000000000e+00,1.809553672608526587e-03,0.000000000000000000e+00
-8.858592461042581051e-03,9.033265392722936160e-03,-6.821679371848077267e-03,9.859648018974366268e-01,1.229268112452416026e-03,0.000000000000000000e+00
-7.150532819807785267e-03,7.299159300137822090e-03,-7.115931338454228872e-03,9.366669846838068247e-01,-5.968809398642668622e-04,0.000000000000000000e+00
-9.002529515415432990e-03,9.175564454746744369e-03,-6.675331363768188808e-03,8.898389569402164190e-01,9.407766409878521446e-04,0.000000000000000000e+00
-9.182743240843446036e-03,9.355734633209808471e-03,-7.100742957617312001e-03,8.453512031270109528e-01,-9.561490881036563113e-04,0.000000000000000000e+00
-8.610174745116452866e-03,8.773056051868047614e-03,-7.534185302938256612e-03,8.030887080372750564e-01,-1.025466002939337410e-03,0.000000000000000000e+00
-8.662107190714373600e-03,8.824279159134054001e-03,-7.868841890932620764e-03,7.629383768297535173e-01,-8.334190404921238251e-04,0.000000000000000000e+00
-9.725198741675558645e-03,9.903125405887490754e-03,-8.213908910822742548e-03,7.247958110512157104e-01,-9.045680852092951489e-04,0.000000000000000000e+00
-8.888759420878111425e-03,9.052309583998304279e-03,-8.721407063777997237e-03,6.885616574352219077e-01,-1.400376930503109294e-03,0.000000000000000000e+00
-9.998270154033770188e-03,1.018116976899037865e-02,-9.093352338103599664e-03,6.541366397121639586e-01,-1.080348819152814662e-03,0.000000000000000000e+00
-1.024014062677249329e-02,1.042795765289900728e-02,-9.638608840345952444e-03,6.214357016844718196e-01,-1.667085414826555275e-03,0.000000000000000000e+00
-8.164711566569948786e-03,8.313247852372711647e-03,-1.021333789661926783e-02,5.903688213734761270e-01,-1.849664010131734640e-03,0.000000000000000000e+00
-9.282965671148789982e-03,9.455739279028615649e-03,-1.047111673526168740e-02,5.608509558400613937e-01,-8.732795474729665094e-04,0.000000000000000000e+00
-9.369320094062206367e-03,9.545482751994011431e-03,-1.092222608545923013e-02,5.328131605262076409e-01,-1.608644623577585621e-03,0.000000000000000000e+00
-9.203637340502489675e-03,9.378128770625595786e-03,-1.139656493578711238e-02,5.061763894807317365e-01,-1.780491706038854266e-03,0.000000000000000000e+00
